sv_name,oa_name,sv_id,oa_id,similarity_score
qihan xu,min xu,59729857200,A5100413849,71
david c thompson,j r thompson,57966537000,A5102732555,71
yizhi wang,qi wang,57200661953,A5100341251,71
andreas fischer,alain fischer,57201733481,A5029004287,71
lei chen,yuxi chen,56612496600,A5100764265,71
claire peacock,stuart peacock,57208062311,A5076902800,71
yufei wang,qi wang,57222498131,A5100341251,71
jian li,ming li,58436524800,A5100351426,71
rishav singh,ravi chand singh,59088317900,A5047641614,71
krzysztof starosta,k starosta,7004073992,A5034578283,71
aimin chen,mo chen,55447267000,A5100387244,71
aleyah williams,vance e williams,57225966700,A5010948237,71
zhida li,jia li,57190841490,A5100405681,71
dongho kim,jeong‐bon kim,57214770459,A5019704910,70
xiaokong zhang,hao zhang,57222133578,A5100397026,70
xiaoxing zhang,hao zhang,57202358222,A5100397026,70
siyuan chen,yuxi chen,59817205600,A5100764265,70
yixuan chen,yuxi chen,57328681600,A5100764265,70
jiayue chen,yuxi chen,57221630885,A5100764265,70
yizhou chen,yuxi chen,57382729000,A5100764265,70
g m gutman,gloria gutman,34769660700,A5049634235,70
dara kelly,barry c kelly,57192095652,A5077116272,70
jialin song,xiaowei song,59444806000,A5036261443,70
jenli shen,kelly shen,57206189589,A5006850713,70
jaeyong lee,ki‐young lee,39762111800,A5100719654,70
sean p cox,kieran cox,7401456247,A5031419507,70
samantha henrie thompson,sarah k thompson,57224545759,A5038186298,70
jason wang,jiacheng wang,58670992800,A5100727957,70
melanie lee,daniel c lee,57191731525,A5100392989,70
a m côté,isabelle m côté,57211556945,A5048073547,70
jihyun park,youn‐il park,59720645100,A5072961887,70
yiting chen,yuxi chen,59353414700,A5100764265,70
sarah zhang,hao zhang,57226464367,A5100397026,70
yuzhi zhang,hao zhang,54390643800,A5100397026,70
william e copeland,colin copeland,7006006867,A5052851310,69
benjamin anderson,gail s anderson,57373810700,A5046194198,69
hao richard zhang,hao zhang,55685656900,A5100397026,69
xiaogang wang,jiacheng wang,57206601221,A5100727957,69
julia h smith,jason r smith,57199012787,A5061800498,69
jordan brubacher,jeffrey r brubacher,57212676312,A5075496142,69
cassidy ar smith,jason r smith,57222201926,A5061800498,69
jonathan f williams,vance e williams,57217554285,A5010948237,69
danielle v harris,andrew b harris,55503085900,A5011644095,69
emily m thornton,allen e thornton,57211992541,A5018971948,69
xiaoying wang,jiacheng wang,57221799820,A5100727957,69
heather williams,vance e williams,57657094200,A5010948237,69
rimika chaudhury,sidhartha chaudhury,57210733942,A5089946703,69
leif stefan anderson,gail s anderson,57220763731,A5046194198,69
jonghyeok kim,jeong‐bon kim,58727504600,A5019704910,69
erik m young,robert n young,57204013252,A5063566841,69
evan macdonald,margaret macdonald,57204080026,A5034867632,69
james carter,allison carter,57430332400,A5076004104,69
cameron scott,jamie k scott,57213693372,A5045141972,69
david c thompson,sarah k thompson,57966537000,A5038186298,69
peter r thompson,sarah k thompson,57205651253,A5038186298,69
nicholas a scott,charles scott,39362313000,A5039664215,69
kyle macdonald,margaret macdonald,58770007400,A5034867632,69
stacey copeland,colin copeland,57203925185,A5052851310,69
