index,sv_name,oa_name,sv_id,oa_id,similarity_score
603,jeonghun lee,kelley lee,57206734156,A5019363540,45
925,connie kw liu,helen liu,59618465500,A5101610756,45
582,frank js lee,monica lee,23484073300,A5057346446,45
927,connie kw liu,jiayi liu,59618465500,A5100370772,45
720,david long,nguyễn quang long,57236120200,A5018451341,44
673,shanna my li,jia li,57221738372,A5100405681,44
939,amy huey yi lee,ki‐young lee,59661104900,A5100719654,44
873,jane sy li,cheng li,58668755300,A5100354297,44
799,brian li,chunmei li,57203169041,A5100427221,44
823,xinru li,chunmei li,57218939828,A5100427221,44
638,angelica (min hye) lee,kelley lee,57215776540,A5019363540,44
507,henry wj lin,qi lin,56159860200,A5102608112,44
948,baiyu li,chunmei li,58262011500,A5100427221,44
380,lawrence h kim,jeong‐bon kim,56742755100,A5019704910,44
510,b l liu,yan‐jun liu,58372717600,A5100349652,44
490,angel my lin,qi lin,56444693800,A5102608112,44
768,qiushi lin,feng lin,58481182500,A5101414835,44
1400,shaun p wong,jennifer s wong,56991869300,A5018101953,44
698,jiayi liu,helen liu,58550253900,A5101610756,44
761,linda c li,cheng li,7501443732,A5100354297,44
146,anthony chan,jennifer a chan,56250973100,A5067228740,44
825,jessica li,cheng li,57197841332,A5100354297,44
1114,benjamin ma,hang ma,58746024100,A5024389928,44
924,connie kw liu,b liu,59618465500,A5114378471,44
499,amy huei yi lee,daniel c lee,55477263200,A5100392989,44
498,amy huei yi lee,ki‐young lee,55477263200,A5100719654,44
964,keon ju maverick lee,daniel c lee,59558996300,A5100392989,44
940,amy huey yi lee,daniel c lee,59661104900,A5100392989,44
963,keon ju maverick lee,ki‐young lee,59558996300,A5100719654,44
1217,prophecy sun,xiangyu sun,57190403711,A5060002954,43
517,careesa chang liu,yan‐jun liu,42661778400,A5100349652,43
541,melanie lee,ki‐young lee,57191731525,A5100719654,43
387,taeyoung kim,woo soo kim,57198491843,A5000223592,43
1087,xiangbo mao,z morley mao,55925749200,A5003217329,43
432,jonghyeok kim,tae‐ho kim,58727504600,A5100452164,43
478,cheng li,jia li,57208500706,A5100405681,43
621,arita li liu,yan‐jun liu,57200987873,A5100349652,43
977,amy wiebe lau,kelvin lau,57828380800,A5064093289,43
527,chelsey lee,ki‐young lee,57207257893,A5100719654,43
771,janghyeon lee,kelley lee,58374461300,A5019363540,43
668,wing yin venus lau,kelvin lau,57216796359,A5064093289,43
653,hsufeng lee,daniel c lee,55924615100,A5100392989,43
1096,like ma,hang ma,57211801554,A5024389928,43
856,grayson lee,ki‐young lee,59137357900,A5100719654,43
333,hannah m hall,peter hall,57755790100,A5018086501,43
828,vivian py lee,kelley lee,58323846600,A5019363540,43
906,hyunwoo lee,daniel c lee,55751730700,A5100392989,43
713,zhi yih lim,angelica lim,57215605423,A5054803584,43
1004,jessica lee,ki‐young lee,58701988800,A5100719654,43
418,chaeri kim,jeong‐bon kim,59103083900,A5019704910,43
444,jeongmee kim,woo soo kim,57218457561,A5000223592,43
348,richard jones,steven jm jones,57217100215,A5100728059,43
1089,yongsen mao,z morley mao,57567008600,A5003217329,43
459,min-suk kim,jeong‐bon kim,58770590200,A5019704910,42
449,freddie kim,jeong‐bon kim,59458558600,A5019704910,42
401,kijin kim,tae‐ho kim,57223212678,A5100452164,42
559,tingan li,chunmei li,57210262931,A5100427221,42
583,frank js lee,ki‐young lee,23484073300,A5100719654,42
606,jeonghun lee,daniel c lee,57206734156,A5100392989,42
598,wenzao li,chunmei li,56089546300,A5100427221,42
456,jeehye christine kim,jeong‐bon kim,56671161000,A5019704910,42
1031,sabrina sm lee,monica lee,27169595700,A5057346446,42
670,rebekah hy lee,monica lee,57221940572,A5057346446,42
795,xiaosu li,chunmei li,57225920605,A5100427221,42
