sv_name,oa_name,sv_id,oa_id,sv_pubs,oa_pubs,sv_cited,oa_cited,similarity_score
yiting chen,yuxi chen,59353414700,A5100764265,3,140,21,1283,70
sarah zhang,hao zhang,57226464367,A5100397026,2,1370,1,63147,70
yuzhi zhang,hao zhang,54390643800,A5100397026,1,1370,0,63147,70
william e copeland,colin copeland,7006006867,A5052851310,1,125,2,1736,69
benjamin anderson,gail s anderson,57373810700,A5046194198,2,144,0,2665,69
hao richard zhang,hao zhang,55685656900,A5100397026,76,1370,5888,63147,69
xiaogang wang,jiacheng wang,57206601221,A5100727957,1,124,75,2294,69
julia h smith,jason r smith,57199012787,A5061800498,61,57,2003,3116,69
jordan brubacher,jeffrey r brubacher,57212676312,A5075496142,4,206,55,4571,69
cassidy ar smith,jason r smith,57222201926,A5061800498,1,57,5,3116,69
jonathan f williams,vance e williams,57217554285,A5010948237,23,139,253,1624,69
danielle v harris,andrew b harris,55503085900,A5011644095,1,247,0,1922,69
emily m thornton,allen e thornton,57211992541,A5018971948,5,147,356,4741,69
xiaoying wang,jiacheng wang,57221799820,A5100727957,2,124,71,2294,69
heather williams,vance e williams,57657094200,A5010948237,3,139,5,1624,69
rimika chaudhury,sidhartha chaudhury,57210733942,A5089946703,4,94,10,2867,69
leif stefan anderson,gail s anderson,57220763731,A5046194198,7,144,304,2665,69
jonghyeok kim,jeong‐bon kim,58727504600,A5019704910,2,328,9,14207,69
erik m young,robert n young,57204013252,A5063566841,6,244,60,9023,69
evan macdonald,margaret macdonald,57204080026,A5034867632,2,122,28,923,69
james carter,allison carter,57430332400,A5076004104,1,152,2,2207,69
cameron scott,jamie k scott,57213693372,A5045141972,7,85,204,6912,69
david c thompson,sarah k thompson,57966537000,A5038186298,1,189,4,4570,69
peter r thompson,sarah k thompson,57205651253,A5038186298,1,189,2,4570,69
nicholas a scott,charles scott,39362313000,A5039664215,15,55,201,276,69
kyle macdonald,margaret macdonald,58770007400,A5034867632,1,122,0,923,69
stacey copeland,colin copeland,57203925185,A5052851310,3,125,40,1736,69
lloyd t elliott,john e elliott,48662120400,A5076714348,27,406,627,10570,69
cameron scott,charles scott,57213693372,A5039664215,7,55,204,276,69
paul macdonald,margaret macdonald,58573429900,A5034867632,1,122,3,923,69
renjie wang,qi wang,57220783660,A5100341251,1,126,4,1686,67
darren r grant,d grant,35427036600,A5107864583,1,278,0,18955,67
jessica lee,monica lee,58701988800,A5057346446,1,232,1,5309,67
sieun lee,ki‐young lee,36644393200,A5100719654,29,106,817,2873,67
ken liu,b liu,57364393000,A5114378471,1,2266,4,110309,67
chunmei li,cheng li,55696026700,A5100354297,17,840,708,7776,67
weiran sun,xiangyu sun,41862484700,A5060002954,23,179,204,3481,67
mark lee,monica lee,57219825843,A5057346446,1,232,5,5309,67
cameron j grant,darren grant,57211079732,A5031508239,1,133,25,2244,67
tingan li,jia li,57210262931,A5100405681,10,997,118,18198,67
weilian song,xiaowei song,57203210763,A5036261443,3,241,17,8026,67
anqi chen,yuxi chen,57219394662,A5100764265,2,140,3,1283,67
yungshan lee,ki‐young lee,54882053400,A5100719654,10,106,111,2873,67
jing li,cheng li,57216939987,A5100354297,33,840,1808,7776,67
ze liu,helen liu,59535375500,A5101610756,1,291,0,3472,67
jong-in lee,monica lee,58376421300,A5057346446,3,232,21,5309,67
hannah v watkins,g d watkins,57211912574,A5109056508,6,256,37,15453,67
z m wang,qi wang,55719869100,A5100341251,22,126,275,1686,67
jiarui zhang,hao zhang,58484470900,A5100397026,1,1370,0,63147,67
aotian chen,mo chen,59352990300,A5100387244,1,265,0,5159,67
jacob loftus,joseph c loftus,59532629300,A5103252276,1,166,0,9809,67
yue wang,qi wang,7601513640,A5100341251,30,126,279,1686,67
jesse scott,jamie k scott,55790236900,A5045141972,1,85,0,6912,67
d mori,greg mori,56779709600,A5110713539,665,223,39801,10073,67
cheng li,chunmei li,57208500706,A5100427221,57,189,169,6616,67
zhilin zhang,hao zhang,57195335713,A5100397026,11,1370,144,63147,67
jing chen,yuxi chen,55049017000,A5100764265,1,140,10,1283,67
rui zhang,hao zhang,57445736500,A5100397026,4,1370,199,63147,67
douglas w allen,ryan w allen,7404328223,A5039444427,25,125,299,5183,67
jie zhang,hao zhang,56420749300,A5100397026,1,1370,4,63147,67
alison shaw,chris shaw,56375618200,A5040961656,1,169,0,4406,67
jenifer l thewalt,m l w thewalt,6603791310,A5078132551,15,179,844,4354,67
peiwei wang,qi wang,57215193390,A5100341251,1,126,19,1686,67
yilin liu,jiayi liu,57220551288,A5100370772,1,172,2,2216,67
yanbin wang,qi wang,59773982900,A5100341251,1,126,0,1686,67
jf williams,vance e williams,57213047389,A5010948237,1,139,3,1624,67
shuxing li,cheng li,55315987100,A5100354297,9,840,93,7776,67
emanuel krebs,dennis l krebs,56338995600,A5034589539,16,166,132,5379,67
yilin liu,helen liu,57220551288,A5101610756,1,291,2,3472,67
kristen l gray,bonnie l gray,57216797712,A5110354105,6,154,932,1684,67
reagan c smith,jason r smith,57224678034,A5061800498,1,57,4,3116,67
da ma,hang ma,55992234300,A5024389928,30,84,521,2944,67
imin chen,yuxi chen,35306560600,A5100764265,14,140,56,1283,67
xiaoban chen,yuxi chen,57218999689,A5100764265,2,140,9,1283,67
helena lin,feng lin,59659333500,A5101414835,1,160,0,1168,67
xilan liu,jiayi liu,58744569600,A5100370772,1,172,3,2216,67
yizhou chen,mo chen,57382729000,A5100387244,3,265,23,5159,67
liang cao,jiguo cao,57467068800,A5062483690,5,201,8,3370,67
simonw p watkins,g d watkins,57203069353,A5109056508,25,256,199,15453,67
xiaosu li,jia li,57225920605,A5100405681,2,997,30,18198,67
zhengqing wang,qi wang,58864775700,A5100341251,2,126,5,1686,67
edgar c young,robert n young,7401838992,A5063566841,2,244,9,9023,67
lainey martin,jack martin,58951067900,A5061285579,1,399,1,12558,67
yijuan zhang,hao zhang,56066618800,A5100397026,4,1370,53,63147,67
xinglu wang,jiacheng wang,58653787300,A5100727957,3,124,13,2294,67
yanyan zhang,hao zhang,58669484300,A5100397026,4,1370,0,63147,67
yue chen,mo chen,57216638641,A5100387244,1,265,4,5159,67
bill t fischer,alain fischer,57221564747,A5029004287,2,1229,3,101519,67
ankun ma,hang ma,57376116300,A5024389928,1,84,1,2944,67
alison j moore,margo m moore,58916532200,A5016934414,1,89,0,3746,67
kyeong-min kim,jeong‐bon kim,57200325379,A5019704910,3,328,5,14207,67
xin wang,jiacheng wang,58097854500,A5100727957,1,124,11,2294,67
dongwoo kim,jeong‐bon kim,57205207510,A5019704910,8,328,129,14207,67
jeremy im carpendale,sheelagh carpendale,6602137442,A5012561411,25,426,289,12132,67
amber moore,margo m moore,57194524836,A5016934414,8,89,15,3746,67
marina c elliott,john e elliott,55837840200,A5076714348,11,406,666,10570,67
zhe wang,jiacheng wang,59560883400,A5100727957,1,124,0,2294,67
stevie thompson,j r thompson,57220785307,A5102732555,1,400,11,11012,67
maggie chen,mo chen,35314590800,A5100387244,1,265,5,5159,67
zhenman fang,mei lan fang,38361266400,A5008149652,48,226,679,3108,67
j chen,yuxi chen,58745556500,A5100764265,177,140,1393,1283,67
xin li,jia li,57189987947,A5100405681,6,997,27,18198,67
zhe wang,qi wang,59560883400,A5100341251,1,126,0,1686,67
kun liu,yan‐jun liu,57217039511,A5100349652,6,261,100,15182,67
james thompson,sarah k thompson,57383215700,A5038186298,1,189,2,4570,67
kun liu,b liu,57217039511,A5114378471,6,2266,100,110309,67
richard t vaughan,rodney g vaughan,14632627000,A5078752648,34,322,755,6450,67
xilan liu,helen liu,58744569600,A5101610756,1,291,3,3472,67
m s martin,jack martin,57223122081,A5061285579,8,399,24,12558,67
pei pei,jian pei,58830173600,A5062247330,8,769,218,81217,67
 grant,darren grant,59739987300,A5031508239,1,133,0,2244,67
benjamin britton,robert britton,25643888600,A5014010162,18,235,1212,5615,67
chi xu,min xu,56460553100,A5100413849,11,796,94,12050,67
tessa williams,vance e williams,59135267800,A5010948237,1,139,1,1624,67
melanie lee,monica lee,57191731525,A5057346446,14,232,86,5309,67
melanie lee,kelley lee,57191731525,A5019363540,14,336,86,10321,67
shuo chen,yuxi chen,57842429100,A5100764265,4,140,73,1283,67
cheng li,ming li,57208500706,A5100351426,57,258,169,4282,67
lei chen,mo chen,56612496600,A5100387244,13,265,315,5159,67
jesse scott,charles scott,55790236900,A5039664215,1,55,0,276,67
tao wang,qi wang,55949122700,A5100341251,8,126,113,1686,67
yuxuan zhang,hao zhang,57732522100,A5100397026,3,1370,7,63147,67
