,name1,name2,id1,id2,similarity_score
241,g rossi,sp rossi,A5054516428,A5107070954,80
242,z john shen,john shen,A5013766145,A5063633720,90
243,wolfgang stuerzlinger,wolfgang stürzlinger,A5085460170,A5106113183,93
244,nadine schuurman,nadine schuurmann,A5071764220,A5014876465,97
245,doug stead,d stead,A5004942062,A5110425840,82
246,xiangyu sun,xiaoting sun,A5060002954,A5076953547,78
247,xiangyu sun,bingyun sun,A5060002954,A5030344959,82
248,hasina samji,hasina shamji,A5032853894,A5003602094,96
249,bp singh,s singh,A5103582429,A5108064129,80
250,aniqa shahid,abid shahid,A5057060792,A5102484347,78
251,michèle schmidt,michelle schmidt,A5091617213,A5039633290,90
252,debbie sheehan,debbie sheenan,A5109036918,A5055687264,93
253,vahideh shirmohammadli,a h shirmohammadi,A5009499082,A5074222454,82
254,david swanlund,david sun,A5074444977,A5112389755,78
255,thushani de silva,gl thushani de silva,A5068060581,A5013022283,92
256,jeffrey van santen,jeffrey a van santen,A5058603439,A5071037562,95
257,akhmedkhan shabanov,akhmedkhan ahan shabanov,A5108762255,A5108988979,88
258,hamide sharifi,hamida safi,A5012898139,A5078761388,80
259,k a salters,kate salters,A5109249088,A5080431297,87
260,stephanie c stelmaschuk,stephanie c stelmachuk,A5020197736,A5075274634,98
261,a sixsmith,andrew sixsmith,A5061578981,A5062744892,80
262,andrew j sixsmith,andrew sixsmith,A5109634693,A5062744892,94
263,victor ht soares,victor soares,A5113007020,A5113114976,90
264,david c thomas,david c thompson,A5101577676,A5083128208,87
265,paul tupper,p tupper,A5078121912,A5025327252,84
266,michael j trimble,michael trimble,A5059892142,A5114186388,94
267,shitao tang,jingtao tang,A5110510798,A5090440775,78
268,paige tuttösí,paige tuttosi,A5064388924,A5020759758,85
269,daniel tay,daniel tarnu,A5019604712,A5011155609,82
270,sara taghipour,parnian taghipour,A5089099162,A5092503488,84
271,omnia taha,omnia m taha,A5089318544,A5055623045,91
272,kamala todd,par kamala todd,A5093134137,A5111063660,85
273,deniz ugur,deniz g ural,A5077892929,A5117273249,82
274,meghan winters,m winters,A5023136423,A5112062797,78
275,jennifer s wong,jennifer wang,A5018101953,A5023442198,86
276,qi wang,yi wang,A5100341251,A5071864494,86
277,qi wang,ruiqi wang,A5100341251,A5047012415,82
278,qi wang,xin wang,A5100341251,A5087074091,80
279,jiacheng wang,tianzheng wang,A5100727957,A5101598171,81
280,david g t whitehurst,david gt whitehirst,A5045933977,A5113131774,92
281,yang wang,yitong wang,A5100322922,A5118608059,80
282,yang wang,g wang,A5100322922,A5061444400,80
283,bixia wang,xin wang,A5052919764,A5087074091,78
284,bixia wang,bi-xia wang,A5052919764,A5113040768,95
285,kenneth kin lam wong,kenneth c k wong,A5045319854,A5047375842,78
286,yitong wang,yi wang,A5118608059,A5071864494,78
287,zhengqing wang,mengqin wang,A5005632299,A5109697714,85
288,yuepeng wang,yue wang,A5024695395,A5100371992,80
289,noelle warkentin,luke warkentin,A5036298542,A5069332430,80
290,kevin wagner,kevin winther,A5043519692,A5106621638,80
291,amanda wallace,alannah wallace,A5083012202,A5055356925,83
292,lucas wu,lucas y wu,A5000594667,A5052301741,89
293,j wang,r wang,A5064909746,A5045307948,83
294,j wang,g wang,A5064909746,A5061444400,83
295,j wang,h wang,A5064909746,A5009973876,83
296,j wang,c wang,A5064909746,A5030973280,83
297,a woinoski,tim woinoski,A5031293841,A5112857475,82
298,r wang,g wang,A5045307948,A5061444400,83
299,r wang,h wang,A5045307948,A5009973876,83
300,r wang,c wang,A5045307948,A5030973280,83
301,g wang,h wang,A5061444400,A5009973876,83
302,g wang,c wang,A5061444400,A5030973280,83
303,timothy woinoski,tim woinoski,A5112497827,A5112857475,86
304,h wang,c wang,A5009973876,A5030973280,83
305,tianbi wu,tianbu wu,A5077851516,A5113986242,89
306,xiaolei wang,xiaoying wang,A5012106743,A5075566936,80
307,yi wang,xin wang,A5071864494,A5087074091,80
308,yi wang,yue wang,A5071864494,A5100371992,80
309,calvert woodruff,cal woodruff,A5007490784,A5058077634,86
310,yue wang,ke wang,A5100371992,A5100360129,80
311,hui xie,h xie,A5035823220,A5057652444,83
312,minghao yin,ming yin,A5023555343,A5101273683,84
313,ronald c ydenberg,ron ydenberg,A5060793104,A5109944350,83
314,xing-dong yang,xingdong yang,A5084933066,A5111939848,96
315,jeffrey yip,jefferey yue,A5060169756,A5069306754,78
316,sen yang,kefan yang,A5101842208,A5076463655,78
317,sen yang,wen yang,A5101842208,A5100592332,88
318,nancy yang,andy yan,A5015559101,A5050260428,78
319,andy yoon,andy yan,A5036756377,A5050260428,82
320,m a yakovlev,m yakovlev,A5050510999,A5085376161,91
321,m a yakovlev,michael yakovlev,A5050510999,A5020948201,79
322,kefan yang,wen yang,A5076463655,A5100592332,78
323,hao zhang,ray zhang,A5100397026,A5072911375,78
324,hao zhang,miao zhang,A5100397026,A5100376451,84
