,sv_name,oa_name,sv_id,oa_id,similarity_score
433,jonghyeok kim,woo soo kim,58727504600,A5000223592,100
434,tyler t kelly,barry c kelly,57216763095,A5077116272,100
435,pyojin kim,jeong‐bon kim,59563842600,A5019704910,100
436,pyojin kim,tae‐ho kim,59563842600,A5100452164,100
437,pyojin kim,woo soo kim,59563842600,A5000223592,100
438,anny kim,jeong‐bon kim,58090502900,A5019704910,100
439,anny kim,tae‐ho kim,58090502900,A5100452164,100
440,anny kim,woo soo kim,58090502900,A5000223592,100
441,pawel kowalski,p kowalski,57224748486,A5029296798,100
442,jeongmee kim,jeong‐bon kim,57218457561,A5019704910,100
443,jeongmee kim,tae‐ho kim,57218457561,A5100452164,100
444,jeongmee kim,woo soo kim,57218457561,A5000223592,100
445,tommy kim,jeong‐bon kim,58186749800,A5019704910,100
446,tommy kim,tae‐ho kim,58186749800,A5100452164,100
447,tommy kim,woo soo kim,58186749800,A5000223592,100
448,ian j kennedy,christopher j kennedy,57195586827,A5112019938,100
449,freddie kim,jeong‐bon kim,59458558600,A5019704910,100
450,freddie kim,tae‐ho kim,59458558600,A5100452164,100
451,freddie kim,woo soo kim,59458558600,A5000223592,100
452,mary kelly,barry c kelly,59673935300,A5077116272,100
453,seyeon kim,jeong‐bon kim,57817056000,A5019704910,100
454,seyeon kim,tae‐ho kim,57817056000,A5100452164,100
455,seyeon kim,woo soo kim,57817056000,A5000223592,100
456,jeehye christine kim,jeong‐bon kim,56671161000,A5019704910,100
457,jeehye christine kim,tae‐ho kim,56671161000,A5100452164,100
458,jeehye christine kim,woo soo kim,56671161000,A5000223592,100
459,min-suk kim,jeong‐bon kim,58770590200,A5019704910,100
460,min-suk kim,tae‐ho kim,58770590200,A5100452164,100
461,min-suk kim,woo soo kim,58770590200,A5000223592,100
462,deborah v kelly,barry c kelly,7403137454,A5077116272,100
463,elizabeth a krebs,dennis l krebs,7101809423,A5034589539,100
464,bingxuan liu,b liu,58603818900,A5114378471,100
465,bingxuan liu,helen liu,58603818900,A5101610756,100
466,bingxuan liu,yan‐jun liu,58603818900,A5100349652,100
467,bingxuan liu,jiayi liu,58603818900,A5100370772,100
468,jiangchuan chuan liu,b liu,8969748600,A5114378471,100
469,jiangchuan chuan liu,helen liu,8969748600,A5101610756,100
470,jiangchuan chuan liu,yan‐jun liu,8969748600,A5100349652,100
471,jiangchuan chuan liu,jiayi liu,8969748600,A5100370772,100
472,scott a lear,scott a lear,7003829555,A5043684388,100
